Date,2024-12-04 18:44:22
Measurement Type,RT
sensorName,['NONE', 'A'],sensorCount,2,heaterCount,1,tInt,2,tPoints,100,aver,1,RESaver,1,RESNPLC,5,RESrange,auto,chanVar,1,resType,PY_VAR8,RTD,True,
Time,A,Resistance
1748.0,368.767359.355
1750.0,368.4908359.3617
1752.0,368.4562359.3657
1754.0,368.6634359.3754
1756.0,369.2163359.3811
1758.0,369.5618359.3874
1760.0,369.5965359.3902
1762.0,369.7001359.3981
1764.0,369.5274359.3961
1766.0,369.4582359.4043
1768.0,369.2163359.4031
1770.0,368.9744359.4016
1772.0,368.9055359.3959
1774.0,368.6634359.4095
1776.0,368.4217359.4192
1778.0,368.5253359.4215
1780.0,368.5944359.4302
1782.0,369.32359.4342
1784.0,369.4929359.4421
1786.0,369.4929359.4416
1788.0,369.7693359.4516
1790.0,369.6657359.4438
1792.0,369.3546359.4459
1794.0,369.1472359.4482
1796.0,368.9055359.4465
1798.0,368.767359.4508
1800.0,368.5944359.4584
1802.0,368.387359.4666
1804.0,368.4562359.4786
1806.0,368.8017359.4908
1808.0,369.5274359.4913
1810.0,369.5965359.5031
1812.0,369.3546359.5019
1814.0,369.5965359.5045
1816.0,369.631359.4979
1818.0,369.2855359.5027
1820.0,369.2508359.508
1822.0,369.078359.5009
1824.0,368.8363359.5067
1826.0,368.387359.5118
1828.0,368.5598359.517
1830.0,368.4562359.5294
1832.0,368.6289359.5416
1834.0,369.2508359.5448
1836.0,369.4929359.5572
1838.0,369.4929359.5637
1840.0,369.3891359.5562
1842.0,369.5274359.5664
1844.0,369.3546359.5644
1846.0,369.32359.5652
1848.0,368.94359.5647
1850.0,368.767359.5714
1852.0,368.6289359.5771
1854.0,368.4217359.5828
1856.0,368.5253359.5909
1858.0,368.94359.5925
1860.0,369.4929359.6074
1862.0,369.6657359.6079
1864.0,369.6657359.6179
1866.0,369.6657359.6112
1868.0,369.4929359.6119
1870.0,369.3546359.6094
1872.0,369.078359.6074
1874.0,368.9744359.6115
1876.0,368.767359.62
1878.0,368.4908359.6274
1880.0,368.4562359.6247
1882.0,368.4562359.641
1884.0,368.8363359.6455
1886.0,369.3891359.6529
1888.0,369.4238359.6593
1890.0,369.4929359.6588
1892.0,369.32359.6665
1894.0,369.2855359.6665
1896.0,369.0089359.6696
1898.0,369.0089359.6731
1900.0,368.5944359.6782
1902.0,368.3526359.6844
1904.0,368.4908359.6885
1906.0,368.3526359.6895
1908.0,368.8017359.7039
1910.0,369.32359.7135
1912.0,369.5274359.7147
1914.0,369.5274359.7217
1916.0,369.5618359.7213
1918.0,369.32359.727
1920.0,369.1819359.7212
1922.0,368.94359.731
1924.0,368.6634359.7346
1926.0,368.8017359.7374
1928.0,368.5253359.7463
1930.0,368.5253359.749
1932.0,368.6634359.7558
1934.0,369.078359.7645
1936.0,369.078359.768
1938.0,369.1819359.7813
1940.0,369.0436359.7757
1942.0,369.078359.7806
1944.0,368.8363359.7863
